,Title,Gross,Budget,Date,Genre,Director,RT Rating,IMDB Rating,IMDB Votes
392,The Greatest Show on Earth,36000000,4000000.0,1952,,,41.0,6.8,4264.0
393,The First Great Train Robbery,391942,6000000.0,1979,Action,Michael Crichton,,6.9,5141.0
394,Get Shorty,115021008,30250000.0,1995,Comedy,Barry Sonnenfeld,86.0,6.9,33364.0
395,Gettysburg,10731997,25000000.0,1993,Drama,,87.0,7.6,11215.0
396,Guiana 1838,227241,1000000.0,2004,Drama,,,,
397,Gone with the Wind,390525192,3900000.0,1939,Drama,George Cukor,97.0,8.2,78947.0
398,Happiness,5746453,3000000.0,1998,Comedy,Todd Solondz,84.0,6.5,64.0
399,Harley Davidson and the Marlboro Man,7018525,23000000.0,1991,Action,Simon Wincer,27.0,5.3,6995.0
400,Heavy Metal,19571091,9300000.0,1981,Adventure,,60.0,6.0,45.0
401,Heartbeeps,6000000,10000000.0,1981,Comedy,,,4.1,620.0
402,The Helix...  Loaded,3700,1000000.0,2005,Comedy,,,1.5,486.0
403,Hang 'em High,6800000,1800000.0,1968,Western,,93.0,6.9,10292.0
404,Hellraiser,14564000,1000000.0,1987,Horror,,63.0,7.0,22442.0
405,Hero,66787173,42000000.0,1992,Comedy,Stephen Frears,,6.4,323.0
406,Highlander III: The Sorcerer,13738574,26000000.0,1995,Action,,,3.8,7763.0
407,Highlander,12900000,16000000.0,1986,Action,Russell Mulcahy,66.0,7.2,40802.0
408,How Green Was My Valley,0,1250000.0,1941,,John Ford,88.0,7.9,7420.0
409,High Noon,8000000,730000.0,1952,,Fred Zinnemann,95.0,8.3,34163.0
410,History of the World: Part I,31672000,11000000.0,1981,Comedy,Mel Brooks,,6.5,16691.0
411,"Hello, Dolly",33208099,24000000.0,1969,,,,4.4,254.0
412,Halloween II,25533818,2500000.0,1981,Horror,Rick Rosenthal,27.0,4.9,12197.0
413,Halloween 3: Season of the Witch,14400000,2500000.0,1982,Horror,,,3.8,12644.0
414,Halloween 4: The Return of Michael Myers,17768757,5000000.0,1988,Horror,Dwight H. Little,23.0,5.6,11079.0
415,Halloween 5: The Revenge of Michael Myers,11642254,6000000.0,1989,Horror,,14.0,,
416,Halloween:  The Curse of Michael Myers,15126948,5000000.0,1995,Horror,,,4.4,8576.0
417,Halloween,70000000,325000.0,1978,Horror,John Carpenter,93.0,6.0,39866.0
418,Home Alone 2: Lost in New York,358994850,20000000.0,1992,Comedy,Chris Columbus,21.0,5.8,51408.0
419,Home Alone,476684675,15000000.0,1990,Comedy,Chris Columbus,47.0,7.0,79080.0
420,Home Movies,89134,400000.0,1980,,,,5.3,291.0
421,Hum to Mohabbt Karega,121807,2000000.0,1900,Drama,,,3.6,74.0
422,The Hotel New Hampshire,5142858,7500000.0,1984,Drama,,69.0,5.8,4387.0
423,Henry V,10161099,9000000.0,1989,Action,Kenneth Branagh,100.0,7.9,14499.0
424,Housefull,14883658,10100000.0,2010,,,,4.6,687.0
425,Hook,300854823,70000000.0,1991,Adventure,Steven Spielberg,24.0,6.2,60159.0
426,House Party 2,19438638,5000000.0,1991,Comedy,,25.0,4.3,1596.0
427,Hocus Pocus,39360491,28000000.0,1993,Comedy,,29.0,6.0,15893.0
428,The Howling,17985000,1000000.0,1981,,Joe Dante,60.0,6.5,8731.0
429,High Plains Drifter,15700000,15700000.0,1972,Western,Clint Eastwood,,7.6,15718.0
430,Hoop Dreams,11768371,700000.0,1994,Documentary,,98.0,8.0,9492.0
431,Happy Gilmore,38623460,10000000.0,1996,Comedy,Dennis Dugan,58.0,6.9,54111.0
432,The Hudsucker Proxy,14938149,40000000.0,1994,Comedy,Joel Coen,58.0,7.4,32344.0
433,A Hard Day's Night,12299668,560000.0,1964,Comedy,,100.0,7.6,15291.0
434,Heroes,655538,400000.0,2008,Adventure,,,6.1,505.0
435,The Hunt for Red October,200500000,30000000.0,1990,Thriller/Suspense,John McTiernan,95.0,7.6,55202.0
436,Harper,12000000,3500000.0,1966,,,,7.0,2395.0
437,Harriet the Spy,26570048,13000000.0,1996,Adventure,,45.0,5.8,2963.0
438,Le hussard sur le toit,1320043,35000000.0,1996,Drama,,,6.9,3083.0
439,The Hustler,7600000,2000000.0,1961,,,97.0,8.1,25385.0
440,Hud,10000000,2500000.0,1963,,Martin Ritt,79.0,3.4,93.0
441,Hudson Hawk,17218916,65000000.0,1991,Action,Michael Lehmann,20.0,5.3,21920.0
442,Heaven's Gate,3484331,44000000.0,1980,,Michael Cimino,,6.5,4649.0
443,Hav Plenty,2301777,650000.0,1998,Comedy,,,5.6,580.0
444,House of Wax,23800000,658000.0,1953,,,94.0,5.4,32159.0
445,Hawaii,34562222,15000000.0,1966,,George Roy Hill,,6.4,1153.0
